"Dataset","Label","Variable_Name","Type","Length","Variable_Number","Format","Formatl","Formatd","Informat","Informl","Informd","Number_Obs_Dataset"
"aaf01","DATE OF SELECTION","A01SELDT","Num",8,2,,0,0,,0,0,4543
"aaf01","EXAM 1 SEX, TELEPHONE INTERVIEW","A01SEX","Num",3,3,,0,0,,0,0,4543
"aaf01","EXAM 1 AGE, TELEPHONE INTERVIEW","A01AGE1","Num",3,4,,0,0,,0,0,4543
"aaf01","EXAM 1 RACE, TELEPHONE INTERVIEW","A01RACE1","Num",3,5,,0,0,,0,0,4543
"aaf01","EXAM 1 EDUCATION, TELEPHONE INTERVIEW","A01ED1","Num",3,6,,0,0,,0,0,4543
"aaf01","NUMBER OF AGE ELIGIBLES IN HOUSE","A01ELAGE","Num",3,7,,0,0,,0,0,4543
"aaf01","KISH TABLE USED","A01KISH","Char",2,8,,0,0,,0,0,4543
"aaf01","KISH TABLE SELECTION LINE","A01SLINE","Num",3,9,,0,0,,0,0,4543
"aaf01","RECRUITMENT OUTCOME, FINAL STATUS","A01FSTAT","Num",3,10,,0,0,,0,0,4543
"aaf01","COMPLETION DATE OF INTERVIEW","A01COMDT","Num",8,11,,0,0,,0,0,4543
"aaf01","PT'S SELF-RATING OF HEALTH","A01HELTH","Num",3,12,,0,0,,0,0,4543
"aaf01","TIME OF PT'S LAST WELL PHYSICAL EXAM","A01PEXAM","Num",3,13,,0,0,,0,0,4543
"aaf01","TIME SINCE PT HAD B.P. CHECKED","A01BPCHK","Num",3,14,,0,0,,0,0,4543
"aaf01","LIFETIME CIGARETTE COMSUMPTION > 99","A01SM100","Num",3,15,,0,0,,0,0,4543
"aaf01","CURRENT SMOKER?","A01SMNOW","Num",3,16,,0,0,,0,0,4543
"aaf01","# CIGARETTES SMOKED PER DAY","A01SMNUM","Num",3,17,,0,0,,0,0,4543
"aaf01","PT TRIED TO STOP SMOKING W/I PAST 2 YRS","A01TQUIT","Num",3,18,,0,0,,0,0,4543
"aaf01","IF EX-SMOKER, WHEN QUIT","A01WQUIT","Num",3,19,,0,0,,0,0,4543
"aaf01","AGE VERIFY","A01AGE2","Num",3,20,,0,0,,0,0,4543
"aaf01","RACE VERIFY","A01RACE2","Num",3,21,,0,0,,0,0,4543
"aaf01","MARITAL STATUS","A01MRAGE","Num",3,22,,0,0,,0,0,4543
"aaf01","EDUCATION VERIFICATION","A01ED2","Num",3,23,,0,0,,0,0,4543
"aaf01","MAIN ACT'Y: WORK, UNEMPL, SCHOOL, HOUSE","A01WRKST","Num",3,24,,0,0,,0,0,4543
"aaf01","ELIGIBILITY VERIFICATION","A01CHKPT","Num",3,25,,0,0,,0,0,4543
"aaf01","CURRENT ILLNESS PREVENTING PARTICIP'N","A01ILL","Num",3,26,,0,0,,0,0,4543
"aaf01","WHAT PART OF EXAM PREVENTS PARTICIP'N","A01RESON","Char",7,27,,0,0,,0,0,4543
"aaf01","REASON FOR EXCLUSION","A01EXCLD","Num",3,28,,0,0,,0,0,4543
"aaf01","DATE OF EXCLUSION","A01EXDT","Num",8,29,,0,0,,0,0,4543
"aaf01","DATE ELIGIBILITY CONFIRMED","A01ELDT","Num",8,30,,0,0,,0,0,4543
"aaf01","OTHER AGE-ELIGIBLE IN HOUSE","A01OTHEL","Num",8,31,,0,0,,0,0,4543
"aaf01","PREGNANCY STATUS","A01PREG","Num",3,32,,0,0,,0,0,4543
"aaf01","EXPECTED DATE OF DELIVERY","A01DELDT","Num",8,33,,0,0,,0,0,4543
"aaf01","WAS PREGNANT LAST 3 MONTHS","A01PREG3","Num",3,34,,0,0,,0,0,4543
"aaf01","DATE PREG ENDED, IF PREG W/I PAST 3 MOS.","A01ENDDT","Num",8,35,,0,0,,0,0,4543
"aaf01","WHAT CAN WE DO TO GET YOU IN HERE?","A01CANDO","Num",3,36,,0,0,,0,0,4543
"aaf01","DATE OF APPOINTMENT","A01APTDT","Num",8,37,,0,0,,0,0,4543
"aaf02",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaf02","SMOKES,DOESN'T REMEMBER, DOESN'T SMOKE","A02SMOKE","Num",3,2,,0,0,,0,0,4543
"aaf02","A02MTIME OF DAY (SAS)","A02TIME","Num",8,3,"TIME5.",5,0,,0,0,4543
"aaf02","DATE SUBJECT LAST SMOKED (SAS)","A02DTSMK","Num",8,4,,0,0,,0,0,4543
"aaf02","A02MTIME SUBJECT LAST SMOKED (SAS)","A02TMSMK","Num",8,5,"TIME5.",5,0,,0,0,4543
"aaf02","ROOM TEMPERATURE, CENTIGRADE","A02TEMP","Num",3,6,,0,0,,0,0,4543
"aaf02","A02PULSE BEATS IN 30 SECONDS","A02PULSE","Num",3,7,,0,0,,0,0,4543
"aaf02","PEDIATRIC, REGULAR, LARGE, OTHER","A02CUFF","Num",3,8,,0,0,,0,0,4543
"aaf02","A02PULSE OBLITERATION PRESSURE","A02POP","Num",3,9,,0,0,,0,0,4543
"aaf02","PEAK INFLATION LEVEL(STD)(POP + 30)","A02PIL","Num",3,10,,0,0,,0,0,4543
"aaf02","MAXIMUM ZERO","A02MAXZE","Num",3,11,,0,0,,0,0,4543
"aaf02","PEAK INFLATION LEVEL (RZ)","A02PILRZ","Num",3,12,,0,0,,0,0,4543
"aaf02","FIRST READING SBP","A02R1S","Num",3,13,,0,0,,0,0,4543
"aaf02","FIRST READING DIASTOLIC","A02R1D","Num",3,14,,0,0,,0,0,4543
"aaf02","RZ1 SBP","A02RZ1S","Num",3,15,,0,0,,0,0,4543
"aaf02","RZ1 DBP","A02RZ1D","Num",3,16,,0,0,,0,0,4543
"aaf02","FIRST CORRECTED SBP (A02R1S - A02RZ1S)","A02SBP1","Num",3,17,,0,0,,0,0,4543
"aaf02","FIRST CORRECTED DBP (A02R1D - A02RZ1D)","A02DBP1","Num",3,18,,0,0,,0,0,4543
"aaf02","SECOND READING SBP","A02R2S","Num",3,19,,0,0,,0,0,4543
"aaf02","SECOND READING DBP","A02R2D","Num",3,20,,0,0,,0,0,4543
"aaf02","RZ2 SBP","A02RZ2S","Num",3,21,,0,0,,0,0,4543
"aaf02","RZ2 DBP","A02RZ2D","Num",3,22,,0,0,,0,0,4543
"aaf02","SECOND CORRECTED SBP (A02R2S - A02RZ2S)","A02SBP2","Num",3,23,,0,0,,0,0,4543
"aaf02","SECOND CORRECTED DBP (A02R2D - A02RZ2D)","A02DBP2","Num",3,24,,0,0,,0,0,4543
"aaf02","THIRD READING SBP","A02R3S","Num",3,25,,0,0,,0,0,4543
"aaf02","THIRD READING DBP","A02R3D","Num",3,26,,0,0,,0,0,4543
"aaf02","RZ3 SBP","A02RZ3S","Num",3,27,,0,0,,0,0,4543
"aaf02","RZ3 DBP","A02RZ3D","Num",3,28,,0,0,,0,0,4543
"aaf02","THIRD CORRECTED SBP (A02R3S - A02RZ3S)","A02SBP3","Num",3,29,,0,0,,0,0,4543
"aaf02","THIRD CORRECTED DBP (A02R3D - A02RZ3D)","A02DBP3","Num",3,30,,0,0,,0,0,4543
"aaf02","MEAN OF 2ND AND 3RD SBPS","A02SBP","Num",8,31,,0,0,,0,0,4543
"aaf02","MEAN OF 2ND AND 3RD DBPS","A02DBP","Num",8,32,,0,0,,0,0,4543
"aaf03",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaf03","HIGHEST GRADE OF SCHOOL COMPLETED","A03ED","Num",4,2,,0,0,,0,0,4543
"aaf03","HIGHEST DEGREE SUBJECT EARNED","A03DEGRE","Num",4,3,,0,0,,0,0,4543
"aaf03","EVER ATTEND TECHNICAL SCHOOL","A03SCATT","Num",4,4,,0,0,,0,0,4543
"aaf03","CURRENTLY ATTENDING SCHOOL","A03SCNOW","Num",4,5,,0,0,,0,0,4543
"aaf03","HIGHEST DEGREE PLAN TO COMPLETE","A03PLCMP","Num",4,6,,0,0,,0,0,4543
"aaf03","IS SUBJECT WORKING FULL TIME?","A03WRKFT","Num",4,7,,0,0,,0,0,4543
"aaf03","IS SUBJECT WORKING PART TIME?","A03WRKPT","Num",4,8,,0,0,,0,0,4543
"aaf03","UNEMPLOYED,LAID OFF,LOOKING FOR WORK","A03LDOFF","Num",4,9,,0,0,,0,0,4543
"aaf03","IS SUBJECT IN SCHOOL NOW?","A03SCHL","Num",4,10,,0,0,,0,0,4543
"aaf03","IS SUBJECT KEEPING HOUSE/CHILDREN?","A03HOUSE","Num",4,11,,0,0,,0,0,4543
"aaf03","DOES SUBJ. HAVE OTHER MAIN DAILY ACT","A03OTACT","Num",4,12,,0,0,,0,0,4543
"aaf03","DIFFICULTY MEETING DEMANDS","A03DFDEM","Num",4,13,,0,0,,0,0,4543
"aaf03","TYPE OF EMPLOYMENT","A03TYPEM","Num",4,14,,0,0,,0,0,4543
"aaf03","CENSUS CODE","A03CODE","Num",8,15,,0,0,,0,0,4543
"aaf03","UNEMPLOYED FOR MORE THAN 2 MONTHS","A03NOWRK","Num",4,16,,0,0,,0,0,4543
"aaf03","DIFFICULTY PAYING FOR BASICS","A03DFPAY","Num",4,17,,0,0,,0,0,4543
"aaf03","DIFFICULTY MAKING ENDS MEET","A03ENMET","Num",4,18,,0,0,,0,0,4543
"aaf03","PAY >1/2 OF SOMEONE ELSE'S SUPPORT","A03HFSPT","Num",4,19,,0,0,,0,0,4543
"aaf03","MARITAL STATUS","A03MRAGE","Num",4,20,,0,0,,0,0,4543
"aaf03","NUMBER OF YEARS MARRIED","A03YRSMR","Num",4,21,,0,0,,0,0,4543
"aaf03","MONTHS MARRIED","A03MOMR","Num",4,22,,0,0,,0,0,4543
"aaf03","DIVORCED","A03DIVOR","Num",4,23,,0,0,,0,0,4543
"aaf03","SEPARATED","A03SEP","Num",4,24,,0,0,,0,0,4543
"aaf03","WIDOWED","A03WIDOW","Num",4,25,,0,0,,0,0,4543
"aaf03","LIVING IN MARRIAGE-LIKE RELATIONSHIP","A03LIVMR","Num",4,26,,0,0,,0,0,4543
"aaf03","YEARS LIVING IN MARRIAGE-LIKE REL.","A03YRLIV","Num",4,27,,0,0,,0,0,4543
"aaf03","MONTHS LIVING IN MARRIAGE-LIKE REL.","A03MOLIV","Num",4,28,,0,0,,0,0,4543
"aaf03","HIGHEST GRADE SPOUSE/MATE COMPLETED","A03SED","Num",4,29,,0,0,,0,0,4543
"aaf03","HIGHEST DEGREE SPOUSE/MATE EARNED","A03SDGRE","Num",4,30,,0,0,,0,0,4543
"aaf03","DID SPOUSE/MATE ATTEND TECHNICAL SCHOOL","A03SSCAT","Num",4,31,,0,0,,0,0,4543
"aaf03","IS SPOUSE/MATE WORKING FULL TIME?","A03SWKFT","Num",4,32,,0,0,,0,0,4543
"aaf03","IS SPOUSE/MATE WORKING PART TIME?","A03SWKPT","Num",4,33,,0,0,,0,0,4543
"aaf03","SPOUSE/MATE UNEMPLOYED,LAID OFF","A03SLDOF","Num",4,34,,0,0,,0,0,4543
"aaf03","IS SPOUSE/MATE IN SCHOOL NOW?","A03SSCHL","Num",4,35,,0,0,,0,0,4543
"aaf03","IS SPOUSE/MATE KEEPING HOUSE/CHILDREN?","A03SHOSE","Num",4,36,,0,0,,0,0,4543
"aaf03","SPOUSE/MATE HAS OTHER MAIN DAILY ACT'Y","A03SOTAC","Num",4,37,,0,0,,0,0,4543
"aaf03","CENSUS CODED FOR SPOUSE/MATE","A03SCODE","Num",4,38,,0,0,,0,0,4543
"aaf03","EXPECT TO REACH CAREER GOAL","A03CARER","Num",4,39,,0,0,,0,0,4543
"aaf03","EXPECT TO REACH FINANCIAL SUCCESS","A03FINAN","Num",4,40,,0,0,,0,0,4543
"aaf03","EXPECT TO REACH MARRIAGE GOALS","A03GMRAG","Num",4,41,,0,0,,0,0,4543
"aaf03","EXPECT TO REACH FAMILY GOALS","A03FAMLY","Num",4,42,,0,0,,0,0,4543
"aaf03","EXPECT TO REACH EDUCATIONAL GOALS","A03GED","Num",4,43,,0,0,,0,0,4543
"aaf03","# PEOPLE CURRENTLY LIVING IN HOUSEHOLD","A03NPEPL","Num",4,44,,0,0,,0,0,4543
"aaf03","LIVE WITH SPOUSE","A03LVSP","Num",4,45,,0,0,,0,0,4543
"aaf03","LIVE WITH SIGNIFICANT OTHER","A03LVSOT","Num",4,46,,0,0,,0,0,4543
"aaf03","CHILDREN LIVE WITH YOU","A03LVCHL","Num",4,47,,0,0,,0,0,4543
"aaf03","HAVE ROOMMATE(S)","A03LROOM","Num",4,48,,0,0,,0,0,4543
"aaf03","HAVE CHILDREN WHO DO NOT LIVE WITH YOU","A03NLVCH","Num",4,49,,0,0,,0,0,4543
"aaf03","# TIMES CHANGED RESIDENCY IN PAST 2 YRS","A03RCHNG","Num",4,50,,0,0,,0,0,4543
"aaf03","RESPONSIBLE MALE (A=FATHER)","A03FAIND","Char",1,51,,0,0,,0,0,4543
"aaf03","EDUCATION OF FATHER","A03FAED","Num",4,52,,0,0,,0,0,4543
"aaf03","RESPONSIBLE FEMALE (A=MOTHER)","A03MOIND","Char",1,53,,0,0,,0,0,4543
"aaf03","EDUCATION OF MOTHER","A03MOED","Num",4,54,,0,0,,0,0,4543
"aaf03","OCCUPATIONAL CODE OF FATHER","A03FACDE","Num",4,55,,0,0,,0,0,4543
"aaf03","OCCUPATION CODE OF MOTHER","A03MOCDE","Num",4,56,,0,0,,0,0,4543
"aaf03","RACE OF FATHER","A03FRACE","Num",4,57,,0,0,,0,0,4543
"aaf03","RACE OF MOTHER","A03MRACE","Num",4,58,,0,0,,0,0,4543
"aaf04",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaf04","WEIGHTED LIFE EVENTS SCORE","A04SCORE","Num",8,2,,0,0,,0,0,4543
"aaf05",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaf05","BLEEDING DISORDERS?  N(1), Y(2), DN(8)","A05HEMO","Num",8,2,,0,0,,0,0,4543
"aaf05","DATE BLOOD DRAWN (SAS DATE VALUE)","A05DTBLD","Num",8,3,,0,0,,0,0,4543
"aaf05","DATE LAST ATE (SAS DATE VALUE)","A05DTEAT","Num",8,4,,0,0,,0,0,4543
"aaf05","TIME LAST ATE (SAS TIME VALUE)","A05TMEAT","Num",8,5,"TIME5.",5,0,,0,0,4543
"aaf05","TIME BLOOD DRAWN (SAS TIME VALUE)","A05TMBLD","Num",8,6,"TIME5.",5,0,,0,0,4543
"aaf05","NUMBER OF MINUTES FASTING","A05FSTMN","Num",8,7,,0,0,,0,0,4543
"aaf05","12 HR FAST BEFORE BLOOD DRAWN","A05FAST","Char",3,8,,0,0,,0,0,4543
"aaf05","SPECIMEN VISIBLY HEMOLYZED?  N(1), Y(2)","A05HMLZD","Num",8,9,,0,0,,0,0,4543
"aaf05","POS'N OF PATIENT?  SITTING(1), SUPINE(2)","A05POSTN","Num",8,10,,0,0,,0,0,4543
"aaf05","TIME SPECIMEN WAS SPUN (SAS TIME VALUE)","A05TMSPN","Num",8,11,"TIME5.",5,0,,0,0,4543
"aaf05","TIME SPECIMEN WAS FROZEN (SAS TIME VAL)","A05TMFRZ","Num",8,12,"TIME5.",5,0,,0,0,4543
"aaf05","WHITE CELL COUNT (X 1000)","A05WBC","Num",8,13,,0,0,,0,0,4543
"aaf05","RED CELL COUNT (X 1,000,000)","A05RBC","Num",8,14,,0,0,,0,0,4543
"aaf05","HEMOGLOBIN (G/DL)","A05HGB","Num",8,15,,0,0,,0,0,4543
"aaf05","HEMATOCRIT (%)","A05HCT","Num",8,16,,0,0,,0,0,4543
"aaf05","PLATELET COUNT","A05PLATL","Num",8,17,,0,0,,0,0,4543
"aaf05","LYMPHOCYTE COUNT","A05LYMPH","Num",8,18,,0,0,,0,0,4543
"aaf05","MONOCYTES (%)","A05MONO","Num",8,19,,0,0,,0,0,4543
"aaf05","EOSINPHILS (%)","A05EOSIN","Num",8,20,,0,0,,0,0,4543
"aaf05","NEUTROPHILS (%)","A05NEUTR","Num",8,21,,0,0,,0,0,4543
"aaf05","GRANULOCYTES (%)","A05GRAN","Num",8,22,,0,0,,0,0,4543
"aaf05","BASOPHILS (%)","A05BASO","Num",8,23,,0,0,,0,0,4543
"aaf05","BANDS (%)","A05BANDS","Num",8,24,,0,0,,0,0,4543
"aaf05","SEGS (%)","A05SEGS","Num",8,25,,0,0,,0,0,4543
"aaf06a",,"RID","Num",8,1,"BEST12.",12,0,"BEST32.",32,0,4543
"aaf06a","CALORIES (KCAL)","A06CALO","Num",8,2,,0,0,,0,0,4543
"aaf06a","VITAMIN A (IU)","A06VITMA","Num",8,3,,0,0,,0,0,4543
"aaf06a","CHOLESTEROL (MG)","A06CHOL","Num",8,4,,0,0,,0,0,4543
"aaf06a","TOTAL MONOSATURATED FATTY ACIDS (GM)","A06MSFAT","Num",8,5,,0,0,,0,0,4543
"aaf06a","PROTEIN (GM)","A06PROTN","Num",8,6,,0,0,,0,0,4543
"aaf06a","PREFORMED VITAMIN A (MCG)","A06PREVA","Num",8,7,,0,0,,0,0,4543
"aaf06a","TOTAL SATURATED FATTY ACIDS (GM)","A06STFAT","Num",8,8,,0,0,,0,0,4543
"aaf06a","MFA 14:1 (GM)","A06M14_1","Num",8,9,,0,0,,0,0,4543
"aaf06a","TOTAL FAT (GM)","A06TLFAT","Num",8,10,,0,0,,0,0,4543
"aaf06a","BETA CAROTENE (MCG)","A06BCARO","Num",8,11,,0,0,,0,0,4543
"aaf06a","SFA 4:0 (GM)","A06S4_0","Num",8,12,,0,0,,0,0,4543
"aaf06a","MFA 16:1 (GM)","A06M16_1","Num",8,13,,0,0,,0,0,4543
"aaf06a","TOTAL CARBOHYDRATES (GM)","A06TLCAR","Num",8,14,,0,0,,0,0,4543
"aaf06a","VITAMIN C (MG)","A06VITMC","Num",8,15,,0,0,,0,0,4543
"aaf06a","SFA 6:0 (GM)","A06S6_0","Num",8,16,,0,0,,0,0,4543
"aaf06a","OLEIC ACID (MFA 18:1 (GM))","A06M18_1","Num",8,17,,0,0,,0,0,4543
"aaf06a","ALCOHOL (GM)","A06ALCHL","Num",8,18,,0,0,,0,0,4543
"aaf06a","VITAMIN D (MCG)","A06VITMD","Num",8,19,,0,0,,0,0,4543
"aaf06a","SFA 8:0 (GM)","A06S8_0","Num",8,20,,0,0,,0,0,4543
"aaf06a","MFA 20:1 (GM)","A06M20_1","Num",8,21,,0,0,,0,0,4543
"aaf06a","WATER (GM)","A06WATER","Num",8,22,,0,0,,0,0,4543
"aaf06a","TOTAL ALPHA TOCOPHEROL EQUIVALENT (MG)","A06TATE","Num",8,23,,0,0,,0,0,4543
"aaf06a","SFA 10:0 (GM)","A06S10_0","Num",8,24,,0,0,,0,0,4543
"aaf06a","MFA 22:1 (GM)","A06M22_1","Num",8,25,,0,0,,0,0,4543
"aaf06a","ASH (GM)","A06ASH","Num",8,26,,0,0,,0,0,4543
"aaf06a","ALPHA TOCOPHEROL (MG)","A06ATOCO","Num",8,27,,0,0,,0,0,4543
"aaf06a","SFA 12:0 (GM)","A06S12_0","Num",8,28,,0,0,,0,0,4543
"aaf06a","POLYUNSATURATED FATTY ACIDS (GM)","A06PFA","Num",8,29,,0,0,,0,0,4543
"aaf06a","CAFFEINE (MG)","A06CAFEN","Num",8,30,,0,0,,0,0,4543
"aaf06a","BETA TOCOPHEROL (MG)","A06BTOCO","Num",8,31,,0,0,,0,0,4543
"aaf06a","SFA 13:0 (GM)","A06S13_0","Num",8,32,,0,0,,0,0,4543
"aaf06a","LINOLEIC ACID (PFA 18:2 (GM))","A06P18_2","Num",8,33,,0,0,,0,0,4543
"aaf06a","DIETARY FIBER (GM)","A06FIBER","Num",8,34,,0,0,,0,0,4543
"aaf06a","GAMMA TOCOPHEROL (MG)","A06GTOCO","Num",8,35,,0,0,,0,0,4543
"aaf06a","SFA 14:0 (GM)","A06S14_0","Num",8,36,,0,0,,0,0,4543
"aaf06a","LINOLENIC ACID (PFA 18:3 (GM))","A06P18_3","Num",8,37,,0,0,,0,0,4543
"aaf06a","STARCH (GM)","A06STRCH","Num",8,38,,0,0,,0,0,4543
"aaf06a","DELTA TOCOPHEROL (MG)","A06DTOCO","Num",8,39,,0,0,,0,0,4543
"aaf06a","SFA 15:0 (GM)","A06S15_0","Num",8,40,,0,0,,0,0,4543
"aaf06a","PFA 18:4 (GM)","A06P18_4","Num",8,41,,0,0,,0,0,4543
"aaf06a","SUCROSE (GM)","A06SUCRS","Num",8,42,,0,0,,0,0,4543
"aaf06a","CALCIUM (MG)","A06CALCM","Num",8,43,,0,0,,0,0,4543
"aaf06a","SFA 16:0 (GM)","A06S16_0","Num",8,44,,0,0,,0,0,4543
"aaf06a","PFA 20:4 (GM)","A06P20_4","Num",8,45,,0,0,,0,0,4543
"aaf06a","OTHER CARBOHYDRATES (GM)","A06OTHCB","Num",8,46,,0,0,,0,0,4543
"aaf06a","PHOSPHOROUS (MG)","A06PHOSR","Num",8,47,,0,0,,0,0,4543
"aaf06a","SFA 17:0 (GM)","A06S17_0","Num",8,48,,0,0,,0,0,4543
"aaf06a","PFA 20:5 (GM)","A06P20_5","Num",8,49,,0,0,,0,0,4543
"aaf06a","THIAMINE (MG)","A06THIAM","Num",8,50,,0,0,,0,0,4543
"aaf06a","POTASSIUM (MG)","A06POTSM","Num",8,51,,0,0,,0,0,4543
"aaf06a","SFA 18:0 (GM)","A06S18_0","Num",8,52,,0,0,,0,0,4543
"aaf06a","PFA 22:5 (GM)","A06P22_5","Num",8,53,,0,0,,0,0,4543
"aaf06a","RIBOFLAVIN (MG)","A06RIBOF","Num",8,54,,0,0,,0,0,4543
"aaf06a","DIETARY SODIUM (MG)","A06SODUM","Num",8,55,,0,0,,0,0,4543
"aaf06a","SFA 20:0 (GM)","A06S20_0","Num",8,56,,0,0,,0,0,4543
"aaf06a","PFA 22:6 (GM)","A06P22_6","Num",8,57,,0,0,,0,0,4543
"aaf06a","NIACIN (MG)","A06NIACN","Num",8,58,,0,0,,0,0,4543
"aaf06a","IRON (MG)","A06IRON","Num",8,59,,0,0,,0,0,4543
"aaf06a","SFA 22:0 (GM)","A06S22_0","Num",8,60,,0,0,,0,0,4543
"aaf06a","COPPER (MG)","A06COPPR","Num",8,61,,0,0,,0,0,4543
"aaf06a","FOLIC ACID (MCG)","A06FLACD","Num",8,62,,0,0,,0,0,4543
"aaf06a","MAGNESIUM (MG)","A06MAGNM","Num",8,63,,0,0,,0,0,4543
"aaf06a","ZINC (MG)","A06ZINC","Num",8,64,,0,0,,0,0,4543
"aaf06a","FOOD CODE MISSING","A06ERR1","Num",8,65,,0,0,,0,0,4543
"aaf06a","AMOUNT EATEN = MISSING OR 0","A06ERR2","Num",8,66,,0,0,,0,0,4543
"aaf06a","FREQUENCY EATEN = MISSING OR 0","A06ERR3","Num",8,67,,0,0,,0,0,4543
"aaf06a","FREQUENCY UNIT MISSING","A06ERR4","Num",8,68,,0,0,,0,0,4543
"aaf06a","SERVING UNIT NOT LEGAL OR MISSING","A06ERR5","Num",8,69,,0,0,,0,0,4543
"aaf06a","SERVING UNIT MISSING-ONLY ONE LEGAL","A06ERR6","Num",8,70,,0,0,,0,0,4543
"aaf06a","AMOUNT EATEN APPEARS TOO LARGE","A06ERR7","Num",8,71,,0,0,,0,0,4543
"aaf06a","PREP CODE OF BDF FOR A VEGETABLE","A06ERR8","Num",8,72,,0,0,,0,0,4543
"aaf06a","PREP CODE NOT ALLOWABLE FOR FOOD ITEM","A06ERR9","Num",8,73,,0,0,,0,0,4543
"aaf06a","FAT CODE PRESENT, PREP CODE MISSING","A06ERR10","Num",8,74,,0,0,,0,0,4543
"aaf06a","PREP CODE PRESENT, FAT CODE MISSING","A06ERR11","Num",8,75,,0,0,,0,0,4543
"aaf06a","FAT CODE PRESENT BUT NOT VALID","A06ERR12","Num",8,76,,0,0,,0,0,4543
"aaf06a","PREP CODE 2, CP NOT ALLOWED AS SV UNIT","A06ERR13","Num",8,77,,0,0,,0,0,4543
"aaf06a","PREP CODE 3, OZ NOT ALLOWED AS SV UNIT","A06ERR14","Num",8,78,,0,0,,0,0,4543
"aaf06a","FAT CODE MISSING FROM FOOD INDEX FILE","A06ERR15","Num",8,79,,0,0,,0,0,4543
"aaf06a","FAT SV UNIT IS NOT TS, MEAT OR VEG","A06ERR16","Num",8,80,,0,0,,0,0,4543
"aaf06a","TOTAL NUMBER OF FOOD ITEMS RECORDED","A06ITEMS","Num",8,81,,0,0,,0,0,4543
"aaf06a","NUMBER OF ITEMS PROCESSED W/OUT ERRORS","A06NOERR","Num",8,82,,0,0,,0,0,4543
"aaf06a","NUMBER OF ITEMS PROCESSED WITH ERRORS","A06WTERR","Num",8,83,,0,0,,0,0,4543
"aaf06a","HOW WELL HISTORY REPRESENTS USUAL INTAKE","A06Q102","Num",8,84,,0,0,,0,0,4543
"aaf06a","WAS DIET IN PAST MONTH TYPICAL?","A06Q103A","Num",8,85,,0,0,,0,0,4543
"aaf06a","HOW DIET WAS NOT TYPICAL","A06Q103B","Num",8,86,,0,0,,0,0,4543
"aaf06a","ASSESSMENT OF HOW WELL PPT RECALLED INFO","A06RECLL","Num",8,87,,0,0,,0,0,4543
"aaf06a","DID PPT GIVE GENERAL OR SPECIFIC INFO?","A06INFO","Num",8,88,,0,0,,0,0,4543
"aaf06a","IS FORM COMPLETE?","A06CMPLT","Num",8,89,,0,0,,0,0,4543
"aaf06a","TIME INTERVIEW ENDED","A06ENDED","Num",8,90,"TIME5.",5,0,,0,0,4543
"aaf06a","TOTAL TIME FOR INTERVIEW","A06TIME","Num",8,91,6.2,6,2,,0,0,4543
"aaf06a","PERCENT OF ITEMS PROCESSED W/OUT ERRORS","A06PRCOR","Num",8,92,,0,0,,0,0,4543
